dac abcf ac fdbcga dgcbae gcbfde fgcbd agfed adcgf cdbgfea
abfgd baedc feb fgde fbagcd facbdge agcbfe bgafde fe ebdfa
dfc dc afegbc bcafe fcead agefd cafdeb fcbeadg cbed cabdfg
efacdgb abefdg efagbc af afe gdeab dbfa dgefa acegbd cdegf
feg gdbea edgbca gefdab caefdbg egfda afdgc fe cgfdeb efba
bfeac becfd cbgdf gfabed gdefcab dcae edb de bgfaec fdeabc
bgecd cea acegfbd ac gbefad cgdae fcag dfega abfedc gecdfa
acbdfeg bfea agfed cedbg gedfba bfg dcgfea bf agfcbd gebfd
gdcbfa agdfebc ecb fgcba ecgab efgcbd degca egfbac efba eb
gfcade fgedc agcfeb agdcbf dcae cgefbad ce ecg cdgfa dbfge
gcade fcdbea afegcb eafgc acfdbg aecfb fag dgcbafe gf bfge
fd dceabg bcgdef dcefag agcbf gcbfd gbceafd cdf dgebc fdeb
edgafbc bgaedf dbefcg efg fg acfeb bdega adgf cdeabg fbgae
dfecgb ecagbfd ceagd dgb dcfb bcegf abgedf cgbde db facgeb
bcg dbcgea cg eadfcb agfbe cagd dacbe fcbdge abcge cedagfb
dgf dfea cbadg gbeafdc fgcbae fgacde gcafe dgfac dfcbeg df
da dcgfae dac afcdg edaf fgbaec ebgadc gcfea cabgdfe dgbcf
ecd bdecf bgdefac bafcd gdacbf eafd bcgdea bgfec bcadef ed
edacgb df gaedf gacfe dbegcfa dfg bfegda begad dafb cedgbf
dgeca ebdfa dacegf cgba bcd bc acdbeg edacbgf edcab gedbcf
facbde deabfg daf gdbac efcd abecgfd cgafeb facdb fd bacef
bafg gdfeb agbdfe ag adfge aedfc dbecag cfgedba bgedcf dga
bcfed cafe cgbefd edfcab fa bgade dabfegc efabd fda gacdbf
fcbgdae agef bcgda af cfbaed gdefc cfa dfcgeb gafcde fdgca
aebdfc dgcf aedgcb acdeg cfe fc dcfega bfage fgace cgfeabd
bfgde bcdagf bga ga gfea abcde eafbgd edgab ecdbfag fecdgb
fbcead afcdgb fbadgce fdabge ea adec aef afcbd ebgcf fbcae
gedafb fad gfeabc dgcf dfgabc bdaefgc dfcab abedc df gbacf
gcdeab efadg dfbc cebad ecafd efc bfcaedg acgefb dcaefb cf
gdfbc aefg adbceg fgabd fdcbea fa abfedgc bdaeg baf debgfa
cgbed dce gdebf fdecgab caedgb ec fagced bcae dbagc agdfbc
gdcbf fcga dcfbeg acfdbg cda agebd dabcg edbacf ca afdegbc
gbacdf agef ebf gcedb cfgedba cagbf begafc gecbf ef cafdeb
fdacg efdacb ebgd fdagb bfd dgbfaec efgbad cbaefg bd eagbf
degcf ea afecgd fecgbd fecbdag cfaeg deabfg acde bgcaf fea
afegbc dbcfea bgefdc gadbc fbeac df dfb adbgcfe fcdab aefd
cbagdf efgadb db bdg fbgeac dfcb daceg acbgf fbgaced dagcb
fcedb dcbage bc cfadeb dcb degacf gfcadbe dacef fabc gbfed
gefad ebdcfag ebcgd cgefdb abcdge ebf bf cgfeab dfcb ebgfd
dgbca bg gdb ecabfd efcdgba cgead begfad bcfg fcdba cadfgb
egbdac gab edacb ag bgdfcea dbega agce agfcbd aebfdc debgf
gafced agdf cdefa agfceb cbgaefd gecda agc debgc beacdf ag
afegcd gc afecgdb bgfcd gfc fgdcbe bdfca gcbe begdf eabdgf
afb bf afbced aefbc dgceab edabc fbcd befdga ecbadfg fcaeg
fedba efdbgc fecagd dbc gdfacb ecdfbag bceg bc bcfde cgdef
fd efacdb bcdgef fcegb fdb dfegb egadb ecabfg fbgcdae fgcd
cfbea gdbceaf bdafge fge gf afgd dacgeb dbgfec abdeg gbfea
bdgeaf gacedf gedafbc cgebfd cf fdcb cbage cfe fedbg bfceg
eacfdb fb gcabf gbdf gfbcade afb dcfag gcabe acgbfd dgcefa
dbeafg fac degfc fgcbad dgbaf gfaecbd bfecda bacg dfagc ca
fbdagc dfcea defgc fad faeg debfgc baecd af bgfcade agfced
dcabef gcefdab cadg dbfgae ceadb gd bdgce gdb dgceab efbcg
cbegf ef cebfgd gdfabe cbagefd efg baecdg cfabg efcd gbedc
fagbce aefbg eafdb gebcfd ga gaf eagcfbd ceag fbdcag cbgfe
aecdf bgfadce eb acgbf dagfcb ecbagf defcbg cbfae fbe gbea
bcgeda cb bcaf dbfgeca cdegf fdbeag ebc dcfbae bfcde daefb
bcf fdgcb fdaecg gfcda dbcge fb cfegab afdb fdcbage acbdfg
dfac bgefca ebdacf gdefabc gafebd fc dbcef bcdge fbead fce
dfabcg eagd cdegb caefb cad da adbec degfcb gdecba afgebcd
gbefc fd becadg dfg abdfgc cfgbd afdc afdebgc gcbad bdgefa
ce cebdgf aceb feacg bfecga fce aebfg ecdgafb dgbafe gdcfa
gbac fceagb gadecfb ebagf gefbc cdebf feagdb gcf cg fadegc
cd eacgfb facbe cfdeab afgbd bdfac caed dbgfaec bgdcfe cdf
dbfgae geabf aefcg ebcgdfa eb feb agbdcf degb bfadce fgdab
cdaef bdgc agceb becgad egfcbad cabde bda efbgac bd dbegaf
ae gabdfe agdbf deabf febcd acegfb edga adegfcb fcgbad bae
eg agec cadgf fbcdeg adgfe dcegbaf efg dfcagb fedba cfgade
gfe cfgdab gafdb geda gefbd bfdgea bfaceg fedbc eg aedbfcg
fgbca dbf fd ebgad gafdb bgdaef fedgcab dbegac fged dbcafe
dfgca aegdfc da fcdgaeb ebdcaf deag gfeac bgfdc ceafbg afd
adb gcabd cbged fgdceab cbgfa bdcfae da bgcfda dagf befgca
edgfbc fbgecda bgcfe dc aecbgf dgbc cdbfae gfedc gdaef cde
cebdg dfc bfde cagfe edcbfg fegcd cdbfgea afcgdb ecdbag fd
dbgfc ebcfa gfbac aegf cfbage ag feabdc gdcafeb agb dcbgea
abgec cefbgad gfabdc feagc fag fgdce fbae af acgbfe bdgcea
fgdcb fbagde fdgeb daefgc begdcaf baeg feg ge efbda dcfabe
fdaecb gebad baedcfg gcde beg dbeac ge bgfeca bgdfa egbadc
becfdag gaefbd fcga ebcgda egafcb bgeaf gbefc gc cbdef bcg
fdgbea fecbd ebc ecdgf bgefdca cdbfae cb daebf ebgdca bacf
bgc gfeba dcagfb bdfc eabgdcf dfgca gcefda cbgdae gfacb cb
adefgc dc dbcage dcgf adc fdaec cbdgfae afebc abdfge fgead
egca bfcade ga dag eadcf fdebg adfcgb dacgef egfda egdafbc
dfgacbe ae ceafd cdgafe aec cbfda edcfg cagfbe dgea fgecbd
fgbade bfedcag gdceba bf cedafb afb becda adfcg fdacb cefb
acgeb dabc db cdebgf adgef gbd cafegb ebadcg aebdg fcbdaeg
egdcf fbgdec fb gdeacf gbfd bef bfcde becda egfcba gafbdec
af ebdac dgacef abgf ecdbfg gefbd eaf abgcfed fadbge dfbae
ge fdbge dbgfec aecgfd gef bcge gfcabd befdgca cbdfg fedab
cdbgea dge fcgabd deacbgf fdcea dcagb eg caedg bgae bfdegc
bgcfade bgedaf bfgc edfac ecgba efb bf dgaecb caefb aebgfc
dfgec baedg egbdcf egbafdc egacfb efdcag gca cgade cfda ac
dfeabc ag afbcge bag bfcdg adeg fgdcabe edcab dcgab edcabg
febdg fgdcba afdbgec gaefb aecb afcge ba abf abfcge cafged
dab caedbg baecfg bafed db dbefag efbcgda afbge ceadf gfbd
fbg dabefcg dgfc gf fadegb ebgcf cgaeb bafdec befdc fdbgce
gdfebac gdceb fcadge fgac cbeafd gaedfb dcfae age aegcd ga
begcfd cgf cg gcbd agedcf cbfaed bcfge cefdb aebgf eafgbcd
befcag befdcg fcdg bcefdga gebfd bfgec geabd fd bcefda fed
cdfeba cgabdf afbdceg bea decba ea eadf bcfda fegcab begdc
bcedg ac dca gcaedf bfdae dafgcbe dbgeac egfcdb bacg abecd
bfegca bf edgbacf agcef feb fdcgea cbaf becdg cegbf afbdge
edg afbcdeg cafed cafged geca degfa gbafd ecdfbg ge eabcfd
gfa afcgb cfgdea ga fdbcg febcad aecbfg aegb fcbae dgbafec
edgfbc adbcgef gdabec egf dfega fdabe fg dfcage afgc cadge
dagecb ed cdgfb edcgb becag adbe egdafc cgabfed ced ecabfg
afg egdacb gf dfgca fegcab cdaef dgabc afdcgb gdbf fdgbace
ace agbecd eagf gfbdca cefda fdbec dacfge gfdca ea cbdgafe
efa baedg dcgaeb febdga efagd adgbcef dfba fedgc gabcfe af
fageb edgab da cgdeb fbedag ade afgecd begcfa acfegdb bdaf
ebfac dfbeg ecgfab acfg cg baedfc gce gfbdeac agedcb bfecg
abfcg bgfea gbc bdgefca bdacf efcg gecbaf cg gbdafe bdegca
cedgb ebfa edcba dab defcab dfeca gacedf bgdefac cbgadf ba
abcde aedcf afe bcfgdae fbec adcfbe ebdgca ef dbgaef dfgac
fdgcea aebdgcf egdabc defcbg efcba acbed gcdae bagd db edb
cefbd gefcb gf becafgd cfdbag gaef cagbe bgf dcaegb efgcba
ceafb fcegda fcbead cabfg dcgfbea aecfd eb bdcefg bef adbe
efcabgd fbcda efcad cfeg fde adbegc deagc aefdgc fe dbfaeg
dcebga afgbc gfbad efdbcag ca cfea efgcb eabgcf gcbfed cga
gceaf dafgceb afcbeg geacfd fbcead bfa fb gbef acbfg acdbg
gbf bgecfd adgfcbe bfgec bfcgda efdcab gf defg bdcef gecba
dg dgb gbacd bdagfc gafd gaceb dbacfe fgebcd gfdaecb cbfad
cdgbe eadcg dcb db bgecfa cegbdfa fdeb acgdbf becfg decgfb
gcfdbae dgf dgeca dcfge dcegbf fcdeba fedcb gfbc afbdeg gf
dfbaceg ab edcfb adb egabcd dgfbac fbag cfbad fagcd gedacf
debga ec edc gfdca agdce afegbd aecdgb bcea cbefgd baefcgd
edabfc fdaeg dgacfe bdacfg cfabdge efcda fgd gdce dg gfbae
bagcfe afedc dbec fadecb fbdega ed afdcg aefcb efagcdb dae
abe fadecg bfcage bcdafe ecfad afdgb afbde be bedc bfeacdg
bf decgb efb bfegdca bgfd adfce fcdeb gabefc cdaegb fecbgd
gfcbed efdcb dafbcg db gedb deacf cgfbe bdf abfecg defcagb
gceab gefbda bdegafc fgbd bedacf egd agdeb daefb fagedc dg
abecfg dgbca egc aegcb acgdfe agefdb bfec ce ebcdagf bfgae
bfacg eafdb cadbge fecbad gcbdafe ge dabegf egfd gae abgfe
gebd db gbcdfea fbd acebgf fedab agcbfd afecd befadg gbfea
defac gdbfce dfbga deagbfc geadfb cbag cdafgb facdg cgf cg
dafbc fgead edgfac cae gdabec fgeabcd ec acdef debafg cgef
ec dcbafe gbafcd dfgbc dec baedfcg faedg egbc egbfcd dgcfe
